State Imports by HS Commodities,,,,,,,
Current date: 07/30/2025 1:59 PM (Eastern Daylight Time),,,,,,,
State,Commodity,Country,Time,Vessel Value ($US),Customs Containerized Vessel Value (Gen) ($US),Vessel SWT (kg),Containerized Vessel SWT (Gen) (kg)
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-18,"1,858,489","1,858,489","342,434","342,434"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-18,"689,717","689,717","133,500","133,500"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-19,"1,396,316","1,396,316","258,959","258,959"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-19,"769,671","769,671","139,195","139,195"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-19,"1,006,490","1,006,490","161,080","161,080"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-19,"2,076,235","2,076,235","320,360","320,360"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,May-19,"2,123,030","2,123,030","370,534","370,534"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-19,"1,951,143","1,951,143","358,497","358,497"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-19,"2,645,835","2,645,835","421,477","421,477"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-19,"2,170,121","2,170,121","371,604","371,604"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Sep-19,"1,643,500","1,643,500","313,489","313,489"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-19,"2,889,539","2,889,539","508,321","508,321"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-19,"3,737,833","3,737,833","653,433","653,433"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-19,"3,537,722","3,537,722","557,502","557,502"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-20,"4,204,180","4,204,180","626,227","626,227"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-20,"1,687,611","1,687,611","242,173","242,173"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-20,"1,764,357","1,764,357","294,675","294,675"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-20,"2,721,740","2,721,740","433,467","433,467"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,May-20,"1,871,188","1,871,188","323,123","323,123"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-20,"458,158","458,158","78,167","78,167"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-20,"1,214,150","1,214,150","203,308","203,308"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-20,"1,519,998","1,519,998","232,527","232,527"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Sep-20,"2,379,322","2,379,322","393,721","393,721"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-20,"1,636,365","1,636,365","293,998","293,998"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-20,"1,631,973","1,631,973","327,498","327,498"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-20,"2,450,899","2,450,899","416,192","416,192"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-21,"3,037,037","3,037,037","495,383","495,383"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-21,"956,148","956,148","162,723","162,723"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-21,"2,428,458","2,428,458","471,498","471,498"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-21,"4,360,118","4,360,118","644,414","644,414"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,May-21,"4,117,056","4,117,056","585,991","585,991"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-21,"5,985,863","5,985,863","835,793","835,793"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-21,"3,050,217","3,050,217","440,992","440,992"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-21,"1,836,383","1,836,383","303,220","303,220"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Sep-21,"1,220,049","1,220,049","185,864","185,864"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-21,"954,389","954,389","147,616","147,616"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-21,"2,346,100","2,346,100","420,219","420,219"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-21,"1,789,184","1,789,184","272,889","272,889"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-22,"1,911,975","1,911,975","238,322","238,322"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-22,"1,775,034","1,775,034","250,033","250,033"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-22,"359,797","359,797","54,382","54,382"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-22,"1,018,503","1,018,503","157,980","157,980"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,May-22,"237,822","237,822","34,994","34,994"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-22,"533,887","533,887","100,868","100,868"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-22,"258,639","258,639","43,644","43,644"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-22,"275,020","275,020","51,381","51,381"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Sep-22,"761,518","761,518","133,128","133,128"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-22,"981,938","981,938","159,831","159,831"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-22,"970,993","970,993","167,495","167,495"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-23,"879,804","879,804","230,849","230,849"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-23,"598,307","598,307","135,257","135,257"
